State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
CA,Santa Cruz County,2,2,2,2,"26,802","23,113","13,082","9,603",36.9,31.8,18.0,13.2,"25,943","33,368","30,076","27,419",22.2,28.6,25.7,23.5,"26,825","28,183","48,978","43,978",18.1,19.0,33.1,29.7,"27,684","27,327","53,588","56,400",16.8,16.6,37.1,26.7,"18,801","36,714","58,160","67,654",10.4,20.2,37.3,32.1
CA,Shasta County,3,2,3,2,"17,506","14,513","6,867","3,665",41.1,34.1,16.1,8.6,"16,968","27,844","16,125","8,630",24.4,40.0,23.2,12.4,"20,504","27,971","33,374","12,995",21.6,29.5,35.2,13.7,"17,952","29,658","41,854","17,808",16.7,27.6,28.8,39.0,"60,200","87,565","234,756","139,463",11.5,16.8,26.7,45.0
CA,Sierra County,8,7,8,7,626,541,195,141,41.7,36.0,13.0,9.4,449,751,482,368,21.9,36.6,23.5,18.0,618,702,801,400,24.5,27.8,31.8,15.9,375,730,999,436,14.8,28.7,30.8,29.4,"54,997","47,316","83,568","80,082",20.7,17.8,30.1,31.4
CA,Siskiyou County,7,11,6,6,"8,418","7,038","2,450","1,461",43.5,36.3,12.7,7.5,"6,056","9,690","5,579","3,491",24.4,39.0,22.5,14.1,"6,565","9,156","9,161","4,109",22.6,31.6,31.6,14.2,"4,978","8,648","11,611","5,445",16.2,28.2,27.0,40.5,"164,365","192,311","588,984","299,140",13.2,15.4,24.0,47.3
CA,Solano County,2,2,2,2,"31,409","33,040","12,007","7,797",37.3,39.2,14.3,9.3,"30,457","51,166","31,930","18,001",23.2,38.9,24.3,13.7,"36,159","56,046","77,483","39,125",17.3,26.8,37.1,18.7,"40,028","60,367","93,378","52,715",16.2,24.5,32.5,34.2,"25,022","26,805","64,566","55,883",14.5,15.6,32.4,37.5
CA,Sonoma County,2,2,2,2,"41,844","40,497","19,904","12,765",36.4,35.2,17.3,11.1,"42,193","64,975","44,609","36,235",22.4,34.6,23.7,19.3,"40,368","62,057","92,834","63,446",15.6,24.0,35.9,24.5,"46,237","62,559","110,275","87,493",15.1,20.4,39.0,16.6,"13,978","31,961","23,652","54,108",11.3,25.8,43.7,19.1
CA,Stanislaus County,2,2,2,2,"52,093","30,844","13,461","8,623",49.6,29.4,12.8,8.2,"58,009","48,192","28,492","17,954",38.0,31.6,18.7,11.8,"70,044","58,124","64,822","28,712",31.6,26.2,29.2,13.0,"78,427","68,945","80,027","37,179",29.6,26.1,39.3,17.2,239,790,457,925,9.9,32.8,38.4,19.0
CA,Sutter County,3,2,3,2,"9,490","6,923","3,434","2,386",42.7,31.1,15.4,10.7,"9,751","9,851","6,239","4,351",32.3,32.6,20.7,14.4,"11,044","9,935","12,745","6,130",27.7,24.9,32.0,15.4,"13,260","11,569","16,740","7,502",27.0,23.6,37.8,17.7,"3,591","8,323","7,663","12,387",11.2,26.0,38.8,24.0
CA,Tehama County,4,5,4,5,"7,328","6,037","2,002","1,219",44.2,36.4,12.1,7.3,"7,338","10,088","4,436","2,180",30.5,42.0,18.5,9.1,"9,053","10,288","9,862","3,324",27.8,31.6,30.3,10.2,"8,826","11,167","12,175","4,093",24.3,30.8,37.9,21.4,"34,979","67,399","67,991","109,830",12.5,24.1,39.2,24.3
CA,Trinity County,8,6,8,6,"1,930","1,435",669,425,43.3,32.2,15.0,9.5,"1,929","2,898","1,699","1,028",25.5,38.4,22.5,13.6,"2,296","2,763","2,691","1,143",25.8,31.1,30.3,12.9,"1,790","2,791","3,388","1,464",19.0,29.6,36.0,28.5,"44,946","68,686","111,230","116,628",13.2,20.1,34.2,32.6
